[15:47:27]; 4757ms; temperature 1.00; fileSuffix 
[15:49:54]; 6061ms; temperature 1.00; fileSuffix 
[15:50:41]; 4953ms; temperature 1.00; fileSuffix 
[15:51:06]; 6527ms; temperature 1.00; fileSuffix 
[15:53:12]; 6307ms; temperature 0.20; fileSuffix 20
[15:55:37]; 6995ms; temperature 0.10; fileSuffix 1
[15:55:45]; 7508ms; temperature 0.20; fileSuffix 2
[15:55:53]; 7399ms; temperature 0.30; fileSuffix 3
[15:56:01]; 7128ms; temperature 0.40; fileSuffix 4
[15:56:09]; 7111ms; temperature 0.50; fileSuffix 5
[15:56:17]; 6953ms; temperature 0.60; fileSuffix 6
[15:56:25]; 6927ms; temperature 0.70; fileSuffix 7
[15:56:33]; 7179ms; temperature 0.80; fileSuffix 8
[15:56:42]; 6859ms; temperature 0.90; fileSuffix 9
[15:56:50]; 6695ms; temperature 1.00; fileSuffix 10
[15:56:58]; 6760ms; temperature 1.10; fileSuffix 11
[15:57:06]; 6712ms; temperature 1.20; fileSuffix 12
[15:57:14]; 7020ms; temperature 1.30; fileSuffix 13
[15:57:22]; 6794ms; temperature 1.40; fileSuffix 14
[15:57:30]; 6998ms; temperature 1.50; fileSuffix 15
[15:57:39]; 7010ms; temperature 1.60; fileSuffix 16
[15:57:47]; 6803ms; temperature 1.70; fileSuffix 17
[15:57:55]; 6872ms; temperature 1.80; fileSuffix 18
[15:58:03]; 6687ms; temperature 1.90; fileSuffix 19
[15:58:11]; 6901ms; temperature 2.00; fileSuffix 20
[15:58:19]; 6579ms; temperature 2.10; fileSuffix 21
[15:58:27]; 6934ms; temperature 2.20; fileSuffix 22
[15:58:36]; 7018ms; temperature 2.30; fileSuffix 23
[15:58:44]; 7080ms; temperature 2.40; fileSuffix 24
[15:58:52]; 6954ms; temperature 2.50; fileSuffix 25
[15:59:00]; 6887ms; temperature 2.60; fileSuffix 26
[15:59:08]; 6916ms; temperature 2.70; fileSuffix 27
[15:59:16]; 6898ms; temperature 2.80; fileSuffix 28
[15:59:24]; 6803ms; temperature 2.90; fileSuffix 29
[15:59:32]; 7044ms; temperature 3.00; fileSuffix 30
[15:59:41]; 6984ms; temperature 3.10; fileSuffix 31
[15:59:49]; 7013ms; temperature 3.20; fileSuffix 32
[15:59:57]; 7167ms; temperature 3.30; fileSuffix 33
[16:00:05]; 6990ms; temperature 3.40; fileSuffix 34
[16:00:13]; 6796ms; temperature 3.50; fileSuffix 35
[16:00:21]; 6990ms; temperature 3.60; fileSuffix 36
[16:00:29]; 6780ms; temperature 3.70; fileSuffix 37
[16:00:38]; 6982ms; temperature 3.80; fileSuffix 38
[16:00:46]; 6961ms; temperature 3.90; fileSuffix 39
[16:00:54]; 7234ms; temperature 4.00; fileSuffix 40
[16:01:02]; 7183ms; temperature 4.10; fileSuffix 41
[16:01:10]; 6959ms; temperature 4.20; fileSuffix 42
[16:01:18]; 6966ms; temperature 4.30; fileSuffix 43
[16:01:26]; 7008ms; temperature 4.40; fileSuffix 44
[16:01:34]; 6906ms; temperature 4.50; fileSuffix 45
[16:01:43]; 7015ms; temperature 4.60; fileSuffix 46
[16:01:51]; 7029ms; temperature 4.70; fileSuffix 47
[16:01:59]; 6981ms; temperature 4.80; fileSuffix 48
[16:02:07]; 7150ms; temperature 4.90; fileSuffix 49
[16:02:15]; 6898ms; temperature 5.00; fileSuffix 50
[16:02:23]; 6880ms; temperature 5.10; fileSuffix 51
[16:19:19]; 4995ms; temperature 0.20; fileSuffix 20
[18:13:05]; 5521ms; temperature 0.10; fileSuffix 1
[18:13:13]; 5448ms; temperature 0.20; fileSuffix 2
[18:13:20]; 5517ms; temperature 0.30; fileSuffix 3
[18:13:26]; 5416ms; temperature 0.40; fileSuffix 4
[18:13:32]; 5467ms; temperature 0.50; fileSuffix 5
[18:13:38]; 5546ms; temperature 0.60; fileSuffix 6
[18:13:44]; 5498ms; temperature 0.70; fileSuffix 7
[08:47:21]; 5366ms; temperature 0.10; fileSuffix 1
[09:12:11]; 5242ms; temperature 0.10; fileSuffix 1
[09:12:17]; 5545ms; temperature 0.20; fileSuffix 2
